iter	Passed	Remaining
1133	30232	49720
1134	30265	49705
1135	30293	49679
1136	30316	49647
1137	30344	49622
1138	30367	49590
1139	30394	49564
1140	30418	49533
1141	30446	49508
1142	30472	49481
1143	30500	49456
1144	30524	49425
1145	30552	49401
1146	30579	49374
1147	30605	49348
1148	30631	49319
1149	30654	49287
1150	30680	49259
1151	30707	49233
1152	30730	49200
1153	30756	49172
1154	30780	49141
1155	30807	49115
1156	30830	49084
1157	30856	49055
1158	30883	49030
1159	30907	48998
1160	30932	48969
1161	30957	48941
1162	30983	48913
1163	31005	48879
1164	31028	48846
1165	31054	48819
1166	31081	48792
1167	31103	48759
1168	31128	48730
1169	31155	48703
1170	31179	48673
1171	31207	48647
1172	31232	48618
1173	31259	48593
1174	31284	48564
1175	31308	48533
1176	31333	48505
1177	31358	48475
1178	31384	48447
1179	31409	48418
1180	31434	48389
1181	31460	48362
1182	31486	48334
1183	31511	48305
1184	31540	48282
1185	31565	48252
1186	31592	48227
1187	31617	48197
1188	31641	48167
1189	31663	48134
1190	31689	48106
1191	31715	48079
1192	31740	48049
1193	31762	48016
1194	31790	47991
1195	31817	47966
1196	31843	47937
1197	31866	47906
1198	31896	47884
1199	31921	47856
1200	31948	47829
1201	31972	47799
1202	31996	47769
1203	32019	47736
1204	32047	47711
1205	32073	47684
1206	32097	47654
1207	32121	47623
1208	32148	47597
1209	32172	47567
1210	32199	47542
1211	32224	47512
1212	32249	47483
1213	32274	47454
1214	32299	47426
1215	32334	47411
1216	32365	47390
1217	32394	47368
1218	32430	47356
1219	32461	47335
1220	32503	47330
1221	32523	47295
1222	32550	47268
1223	32575	47239
1224	32599	47209
1225	32622	47177
1226	32647	47148
1227	32674	47122
1228	32700	47094
1229	32724	47065
1230	32748	47034
1231	32771	47003
1232	32796	46973
1233	32822	46945
1234	32848	46919
1235	32873	46890
1236	32897	46859
1237	32924	46833
1238	32949	46804
1239	32975	46777
1240	33001	46749
1241	33037	46736
1242	33065	46711
1243	33089	46682
1244	33114	46652
1245	33140	46624
1246	33164	46595
1247	33187	46562
1248	33213	46536
1249	33239	46508
1250	33267	46483
1251	33292	46455
1252	33316	46425
1253	33342	46397
1254	33366	46367
1255	33391	46339
1256	33420	46314
1257	33444	46285
1258	33466	46253
1259	33493	46225
1260	33521	46201
1261	33545	46171
1262	33570	46143
1263	33594	46112
1264	33621	46087
1265	33646	46057
1266	33671	46028
1267	33697	46002
1268	33722	45973
1269	33746	45943
1270	33771	45914
1271	33796	45885
1272	33819	45854
1273	33841	45821
1274	33866	45792
1275	33894	45768
1276	33917	45737
1277	33941	45706
1278	33967	45678
1279	33990	45648
1280	34014	45618
1281	34038	45587
1282	34066	45563
1283	34090	45533
1284	34116	45505
1285	34140	45476
1286	34171	45455
1287	34201	45433
1288	34229	45409
1289	34259	45387
1290	34294	45372
1291	34325	45350
1292	34353	45326
1293	34377	45296
1294	34402	45267
1295	34424	45235
1296	34446	45203
1297	34471	45174
1298	34496	45145
1299	34522	45118
1300	34546	45088
1301	34573	45061
1302	34600	45036
1303	34624	45007
1304	34651	44980
1305	34677	44953
1306	34704	44927
1307	34729	44899
1308	34756	44872
1309	34780	44842
1310	34803	44811
1311	34829	44784
1312	34853	44754
1313	34879	44727
1314	34907	44702
1315	34931	44673
1316	34957	44645
1317	34982	44617
1318	35006	44587
1319	35032	44559
1320	35057	44531
1321	35082	44503
1322	35104	44470
1323	35125	44437
1324	35152	44411
1325	35179	44385
1326	35204	44357
1327	35229	44328
1328	35256	44303
1329	35282	44275
1330	35310	44251
1331	35337	44225
1332	35363	44197
1333	35387	44168
1334	35413	44141
1335	35441	44116
1336	35470	44092
1337	35492	44060
1338	35518	44033
1339	35543	44004
1340	35567	43975
1341	35591	43945
1342	35616	43917
1343	35642	43889
1344	35669	43863
1345	35693	43834
1346	35720	43808
1347	35745	43780
1348	35769	43751
1349	35795	43724
1350	35820	43694
1351	35846	43668
1352	35869	43636
1353	35892	43606
1354	35921	43583
1355	35946	43554
1356	35972	43527
1357	35996	43497
1358	36020	43468
1359	36045	43439
1360	36071	43413
1361	36098	43387
1362	36123	43358
1363	36145	43327
1364	36172	43300
1365	36195	43270
1366	36221	43242
1367	36248	43217
1368	36274	43190
1369	36300	43163
1370	36328	43138
1371	36351	43108
1372	36385	43090
1373	36415	43067
1374	36443	43043
1375	36477	43025
1376	36510	43007
1377	36543	42987
1378	36577	42969
1379	36602	42941
1380	36627	42913
1381	36654	42886
1382	36676	42855
1383	36704	42830
1384	36727	42800
1385	36749	42768
1386	36773	42739
1387	36802	42715
1388	36827	42687
1389	36855	42661
1390	36879	42632
1391	36902	42602
1392	36926	42572
1393	36952	42545
1394	36975	42515
1395	36998	42485
1396	37020	42453
1397	37047	42427
1398	37072	42399
1399	37105	42380
1400	37132	42354
1401	37159	42327
1402	37183	42298
1403	37208	42270
1404	37235	42244
1405	37260	42216
1406	37284	42187
1407	37309	42158
1408	37334	42129
1409	37360	42103
1410	37386	42075
1411	37411	42048
1412	37435	42019
1413	37461	41991
1414	37485	41962
1415	37510	41934
1416	37535	41906
1417	37560	41878
1418	37587	41852
1419	37615	41827
1420	37635	41794
1421	37662	41768
1422	37689	41742
1423	37714	41713
1424	37739	41685
1425	37768	41661
1426	37793	41633
1427	37818	41605
1428	37842	41576
1429	37868	41549
1430	37898	41526
1431	37922	41498
1432	37950	41472
1433	37975	41444
1434	38003	41419
1435	38027	41391
1436	38055	41365
1437	38083	41340
1438	38108	41313
1439	38137	41288
1440	38161	41260
1441	38190	41235
1442	38225	41218
1443	38263	41204
1444	38297	41186
1445	38328	41164
1446	38371	41155
1447	38401	41132
1448	38426	41105
1449	38453	41078
1450	38480	41052
1451	38505	41025
1452	38533	40999
1453	38557	40970
1454	38583	40944
1455	38606	40913
1456	38632	40886
1457	38658	40859
1458	38684	40831
1459	38709	40804
1460	38738	40780
1461	38765	40754
1462	38792	40728
1463	38817	40699
1464	38842	40671
1465	38870	40646
1466	38900	40623
1467	38925	40595
1468	38950	40568
1469	38977	40541
1470	39001	40512
1471	39025	40484
1472	39052	40458
1473	39079	40431
1474	39103	40402
1475	39131	40377
1476	39158	40351
1477	39181	40320
1478	39204	40291
1479	39231	40265
1480	39256	40236
1481	39283	40211
1482	39309	40184
1483	39335	40157
1484	39360	40129
1485	39386	40102
1486	39415	40078
1487	39440	40050
1488	39463	40019
1489	39489	39992
1490	39516	39966
1491	39541	39939
1492	39568	39912
1493	39595	39886
1494	39619	39858
1495	39642	39827
1496	39666	39799
1497	39697	39776
1498	39724	39750
1499	39750	39724
1500	39775	39696
1501	39803	39671
1502	39827	39641
1503	39854	39616
1504	39882	39590
1505	39909	39565
1506	39933	39536
1507	39959	39509
1508	39986	39482
1509	40010	39454
1510	40034	39424
1511	40061	39398
1512	40086	39370
1513	40108	39340
1514	40134	39312
1515	40158	39284
1516	40184	39257
1517	40207	39227
1518	40230	39197
1519	40254	39168
1520	40278	39139
1521	40304	39112
1522	40330	39086
1523	40357	39060
1524	40381	39030
1525	40415	39011
1526	40439	38983
1527	40472	38963
1528	40507	38944
1529	40542	38926
1530	40574	38904
1531	40610	38887
1532	40638	38862
1533	40663	38834
1534	40689	38807
1535	40716	38781
1536	40741	38753
1537	40764	38723
1538	40790	38696
1539	40815	38668
1540	40840	38640
1541	40867	38614
1542	40893	38588
1543	40921	38562
1544	40947	38535
1545	40971	38507
1546	40997	38479
1547	41022	38451
1548	41048	38424
1549	41074	38397
1550	41099	38370
1551	41129	38347
1552	41156	38320
1553	41182	38293
1554	41204	38262
1555	41232	38237
1556	41259	38212
1557	41286	38186
1558	41310	38157
1559	41338	38131
1560	41362	38103
1561	41386	38074
1562	41411	38046
1563	41439	38021
1564	41466	37995
1565	41489	37965
1566	41515	37939
1567	41543	37913
1568	41567	37884
1569	41591	37855
1570	41615	37827
1571	41638	37798
1572	41663	37770
1573	41687	37740
1574	41714	37715
1575	41740	37688
1576	41767	37662
1577	41795	37636
1578	41821	37610
1579	41846	37582
1580	41872	37555
1581	41900	37530
1582	41926	37503
1583	41953	37477
1584	41978	37449
1585	42006	37424
1586	42030	37395
1587	42057	37369
1588	42081	37341
1589	42107	37314
1590	42134	37288
1591	42161	37262
1592	42190	37237
1593	42216	37210
1594	42242	37184
1595	42274	37162
1596	42302	37137
1597	42336	37116
1598	42372	37099
1599	42406	37079
1600	42440	37059
1601	42465	37031
1602	42493	37005
1603	42520	36979
1604	42545	36952
1605	42570	36924
1606	42596	36897
1607	42619	36867
1608	42650	36845
1609	42674	36817
1610	42699	36788
1611	42724	36760
1612	42750	36733
1613	42779	36709
1614	42808	36685
1615	42835	36659
1616	42860	36631
1617	42884	36602
1618	42910	36576
1619	42933	36546
1620	42960	36520
1621	42986	36493
1622	43013	36467
1623	43042	36443
1624	43069	36417
1625	43094	36389
1626	43120	36362
1627	43146	36335
1628	43171	36307
1629	43198	36281
1630	43225	36255
1631	43250	36227
1632	43275	36200
1633	43301	36173
1634	43323	36143
1635	43348	36114
1636	43374	36088
1637	43397	36059
1638	43424	36032
1639	43449	36004
1640	43473	35976
1641	43497	35947
1642	43524	35921
1643	43550	35895
1644	43575	35867
1645	43600	35839
1646	43626	35812
1647	43651	35784
1648	43676	35756
1649	43700	35728
1650	43724	35700
1651	43747	35670
1652	43772	35643
1653	43796	35614
1654	43822	35587
1655	43848	35560
1656	43877	35536
1657	43901	35508
1658	43927	35480
1659	43952	35453
1660	43979	35427
1661	44005	35400
1662	44028	35370
1663	44050	35340
1664	44076	35314
1665	44100	35285
